COMID,x,y,row,col,zone_id,lin_area_km2,lin_width_m,lin_depth_m,lin_Q2_m3s,d4_area_at_point_km2,nearest_d4_area_km2,nearest_d4_distance_m,zone_boundary_distance_m,in_grid,area_ratio_lin_to_nearest_d4,basic_valid,passes_distance,passes_area_ratio,passes_boundary,calibration_valid,fit_area_km2
45086042,381728.9114317537,2050505.5636028578,1606,1870,34,2055.526043777261,160.18704,1.6205281019210815,321.81309183603264,0.065700002014637,2048.302734375,120.0,878.2368774414062,True,1.0035264852607175,True,True,True,True,True,2048.302734375
45086043,378543.73759919195,2048197.4624146062,1683,1763,42,739.0291050204687,114.54795,0.9743518829345703,97.8259126008598,732.3687133789062,732.3687133789062,0.0,600.0,True,1.0090943148169638,True,True,True,True,True,732.3687133789062
45086045,376126.0850179417,2044429.085097637,1809,1683,50,683.0592631182471,109.38718999999999,1.0670156478881836,94.69425720679159,673.3773193359375,673.3773193359375,0.0,1376.7352294921875,True,1.0143781851634945,True,True,True,True,True,673.3773193359375
45086050,368609.0177163353,2038487.779365045,2007,1432,59,623.4436767177027,112.68465,0.8477429151535034,88.0402447903097,0.015300000086426735,551.7548828125,330.0,780.0,True,1.1299286986637584,True,True,True,True,True,551.7548828125
45086283,381091.1045420072,2053509.9498422362,1506,1848,24,1299.3409788843735,129.1171,1.8219472169876099,225.53034716882718,0.03060000017285347,1256.4405517578125,30.0,1982.952392578125,True,1.0341444146056424,True,True,True,True,True,1256.4405517578125
45086294,374797.4978916515,2053478.3801867804,1507,1639,26,728.9128707975946,120.88819,1.8819115161895752,154.87880732902354,716.2506103515625,716.2506103515625,0.0,697.7822265625,True,1.0176785335510108,True,True,True,True,True,716.2506103515625
45086296,385333.98327659204,2063311.475583786,1179,1990,13,982.3971834123503,89.83335,2.1805500984191895,210.7871576406181,0.0414000004529953,879.61767578125,241.86773681640625,3895.95947265625,True,1.1168456597234868,True,True,True,True,True,879.61767578125
45086339,366706.48496813077,2053828.8720714338,1495,1369,35,664.7958093599103,91.942245,1.9322190284729004,168.14603143320056,0.00989999994635582,603.5076293945312,42.42640686035156,4122.57177734375,True,1.1015532811521644,True,True,True,True,True,603.5076293945312
45086342,372367.35762426414,2060050.7514550614,1288,1558,18,502.5265830205906,77.7474,1.4853661060333252,111.59272587583635,0.008100000210106373,433.6299133300781,60.0,2812.330078125,True,1.158883572310355,True,True,True,True,True,433.6299133300781
45086360,363757.0444312321,2063686.555151795,1167,1271,16,325.6447357296368,112.21433999999999,3.577270269393921,81.40880692829579,317.7423095703125,317.7423095703125,0.0,465.7252502441406,True,1.0248705505099742,True,True,True,True,True,317.7423095703125
45086361,360495.1250333231,2050350.1573929947,1611,1162,30,512.2050342896548,112.21087,1.58390212059021,157.09761431914572,0.0027000000700354576,502.73638916015625,90.0,1035.7606201171875,True,1.0188342147766871,True,True,True,True,True,502.73638916015625
45086370,364341.23388430726,2069884.8259178363,960,1290,12,670.3740757406506,113.56844,1.9514480829238892,226.68615240521072,601.527587890625,601.527587890625,0.0,2704.16357421875,True,1.1144527520199852,True,True,True,True,True,601.527587890625
45086376,357949.50579609635,2074795.285330713,797,1077,9,529.5502303505464,191.26332,4.327326774597168,192.8041433736062,519.7968139648438,519.7968139648438,0.0,366.1966552734375,True,1.0187639018240737,True,True,True,True,True,519.7968139648438
45086385,356677.73391051,2050101.8621226035,1620,1035,28,444.2636530276484,114.47287,1.390710711479187,145.58832788505214,0.011699999682605267,426.2669982910156,90.0,1636.856689453125,True,1.0422192072311127,True,True,True,True,True,426.2669982910156
45086412,352759.81234514783,2048932.8093739157,1659,904,37,336.08565830681437,134.18271000000001,1.4256534576416016,128.25803724083605,0.8522999882698059,326.7539978027344,60.0,1129.690185546875,True,1.0285586727839016,True,True,True,True,True,326.7539978027344
45086448,400276.3931984052,2076979.109071203,724,2488,0,228.3086199759932,82.50697,0.27089014649391174,16.31581364866194,0.0,976.968017578125,13282.9208984375,12018.0244140625,True,0.23369098667320098,False,False,True,True,False,976.968017578125
45086486,347267.8682639539,2049806.1771156183,1629,721,36,295.7190131491297,158.27362,0.6182465553283691,107.64686165917068,0.0027000000700354576,273.5154113769531,60.0,2343.074951171875,True,1.0811786131552785,True,True,True,True,True,273.5154113769531
45086507,352434.46451407194,2076779.3720746695,730,893,8,308.00003342790774,117.49968,1.099097728729248,127.6374668166545,0.01080000028014183,275.7051086425781,30.0,1492.1795654296875,True,1.1171357503831985,True,True,True,True,True,275.7051086425781
45086540,340747.42089492566,2050413.0542389958,1609,504,25,183.50330350817865,132.37082,1.3019434213638306,78.58622080094722,0.06390000134706497,160.4340057373047,450.9989013671875,993.1766967773438,True,1.1437930672169823,True,True,True,True,True,160.4340057373047
45086630,323889.7416921895,2091372.694072177,-1,-1,0,157.69010687264375,83.45598000000001,1.2030988931655884,111.79074294653341,,,,,False,,False,False,False,False,False,
45086638,336990.1345032257,2053266.393898562,1514,378,25,135.38443074473713,112.1532,2.194352388381958,60.63780618934383,0.1907999962568283,7.2692999839782715,60.0,2637.612548828125,True,18.624135892469422,True,True,True,True,True,7.2692999839782715
45086655,352480.1508917986,2067543.321303241,1038,895,15,267.7079940588676,93.33203,0.9106406569480896,75.34893789347328,0.13770000636577606,210.71609497070312,60.0,1707.6298828125,True,1.2704677072536312,True,True,True,True,True,210.71609497070312
45086706,350843.8754127973,2084180.2158680977,484,840,3,219.52393841590717,131.7101,0.6098484396934509,75.08532003670301,0.007199999876320362,153.1278076171875,30.0,1663.8509521484375,True,1.4335994345632306,True,True,True,True,True,153.1278076171875
45086784,324541.48691205203,2039641.4286838132,-1,-1,0,106.93872167395008,73.93935,0.5985726714134216,55.695986984495896,,,,,False,,False,False,False,False,False,
45086794,340989.27790954045,2044600.304745621,1803,512,52,65.97847300603108,69.877,0.7202457189559937,33.854790267117075,0.017999999225139618,54.22949981689453,483.7354736328125,1603.8079833984375,True,1.2166528038946858,True,True,True,True,True,54.22949981689453
45086816,403414.4141485418,2046801.250033862,1730,2592,33,29.846456542483274,115.4217,0.02761053293943405,0.633516597785686,0.0008999999845400453,6.401700019836426,30.0,450.0,True,4.662270404736319,True,True,True,True,True,6.401700019836426
45086849,350543.43303879595,2048310.8078493655,1679,830,39,30.55429145609705,75.04569000000001,0.102597676217556,4.416642523847759,30.641399383544922,30.641399383544922,0.0,189.73666381835938,True,0.9971571818128303,True,True,True,True,True,30.641399383544922
45086957,357245.04043741996,2053634.833892018,1502,1053,22,54.19490573325882,81.66325,0.16609542071819305,9.90218735392587,0.0008999999845400453,45.84960174560547,60.0,1368.21044921875,True,1.1820147541075037,True,True,True,True,True,45.84960174560547
45086991,331601.8950058738,2054826.1453659595,1462,199,21,78.44506267012768,70.24123399999999,0.8115935921669006,48.9744990628761,0.012600000016391277,53.361000061035156,174.92855834960938,1318.9769287109375,True,1.4700823181799625,True,True,True,True,True,53.361000061035156
45087023,360788.19671840884,2059885.0250645706,1294,1172,20,59.79713457097778,82.487656,0.19577863812446594,11.33507508306638,0.008999999612569809,46.300498962402344,30.0,1317.9530029296875,True,1.291500867399619,True,True,True,True,True,46.300498962402344
45087024,340486.24549912085,2062979.806687387,1190,495,19,59.02349773302763,91.612404,0.2953120172023773,30.75542787807151,1.6541999578475952,18.700199127197266,390.0,1376.4083251953125,True,3.1563031672312416,True,True,True,True,True,18.700199127197266
45087130,337591.82649138215,2066585.688982128,1070,398,14,54.974795953785076,195.2779,1.3613144159317017,35.08673280852539,0.023399999365210533,41.697898864746094,300.0,400.2499084472656,True,1.3184068610292512,True,True,True,True,True,41.697898864746094
45087227,340621.35483523936,2074026.3309488043,822,499,11,126.8250920778976,70.54053,1.253470778465271,69.70524316398445,74.341796875,74.341796875,0.0,3019.735107421875,True,1.7059729171080464,True,True,True,True,True,74.341796875
